Combo,Rating
3638,yellow
3639,yellow
3636,green
3637,green
2D2D,green
2323,green
1010,green
1A1A,green
3233,green
3232,green
3C3C,green
3234,yellow
1919,green
191A,yellow
060A,yellow
0609,yellow
0606,green
0607,yellow
2829,yellow
2828,green
1516,green
1515,green
0C0C,green
0202,green
0203,green
3737,green
3738,green
3739,green
242C,yellow
242A,yellow
2424,green
1B1C,green
1B1B,green
111C,yellow
1113,yellow
1111,green
3D3D,green
2A2A,green
3333,green
2020,green
2030,green
070B,yellow
0707,green
0708,green
292A,yellow
2929,green
1617,green
1616,green
0303,green
0309,yellow
383A,yellow
3838,green
3839,green
1C1C,green
1213,green
1212,green
343C,yellow
3436,yellow
3435,yellow
3434,green
2122,green
2121,green
2B2C,yellow
2B2B,green
2123,yellow
3A3A,green
3A3B,green
3A3C,yellow
3030,green
0808,green
0809,yellow
080B,yellow
080C,yellow
1718,yellow
1717,green
040A,yellow
0409,yellow
0404,green
0405,yellow
393A,green
393B,yellow
3939,green
2627,yellow
2626,green
1313,green
0A0C,green
0A0A,green
0000,green
3536,green
3535,green
2C2C,green
2223,green
2222,green
3B3B,green
3B3C,green
3133,green
3132,green
3131,green
313C,green
0909,green
090A,green
1819,green
1818,green
0F0F,green
050A,green
0509,yellow
0505,green
0506,green
2727,green
1414,green
0B0B,green
0B0C,yellow
010C,yellow
0103,green
0101,green
0102,green
0109,yellow
