Combo,Rating
0104,yellow
0105,yellow
0109,yellow
010A,yellow
010B,yellow
010C,yellow
010F,yellow
0206,yellow
020A,yellow
030A,yellow
0406,yellow
0407,yellow
0408,yellow
040C,yellow
050C,yellow
0609,yellow
070B,yellow
070F,yellow
080C,yellow
080F,yellow
090C,yellow
090F,yellow
0A0C,yellow
0C0F,yellow
1024,yellow
1025,yellow
1026,yellow
1027,yellow
1028,yellow
1029,yellow
102A,yellow
102B,yellow
102C,yellow
1114,yellow
1115,yellow
111B,yellow
1214,yellow
1215,yellow
1315,yellow
131B,yellow
131C,yellow
1416,yellow
1417,yellow
141C,yellow
1519,yellow
151A,yellow
151B,yellow
151C,yellow
1619,yellow
161A,yellow
172D,yellow
182D,yellow
191C,yellow
192D,yellow
1A2D,yellow
2037,yellow
2038,yellow
2124,yellow
2125,yellow
2129,yellow
212A,yellow
2225,yellow
2325,yellow
2428,yellow
243D,yellow
2528,yellow
2529,yellow
252C,yellow
262B,yellow
262C,yellow
263D,yellow
2729,yellow
272A,yellow
272B,yellow
273D,yellow
282B,yellow
282C,yellow
283D,yellow
292C,yellow
293D,yellow
2A3D,yellow
2B3D,yellow
2C3D,yellow
3037,yellow
3038,yellow
0000,green
0101,green
0102,green
0103,green
0202,green
0203,green
0204,green
0205,green
020B,green
020C,green
020F,green
0303,green
0304,green
0305,green
030B,green
030C,green
030F,green
0404,green
0405,green
040F,green
0505,green
0506,green
0507,green
0508,green
050F,green
0606,green
0607,green
0608,green
060F,green
0707,green
0708,green
0709,green
070A,green
0808,green
0809,green
080A,green
080B,green
0909,green
090A,green
090B,green
0A0A,green
0A0B,green
0B0B,green
0B0C,green
0C0C,green
0F0F,green
1010,green
103D,green
1111,green
1112,green
1113,green
111C,green
112D,green
1212,green
1213,green
121B,green
121C,green
122D,green
1313,green
1314,green
131D,green
1414,green
1415,green
141D,green
1515,green
1516,green
1517,green
1518,green
152D,green
1616,green
1617,green
1618,green
162D,green
1717,green
1718,green
1719,green
171A,green
1818,green
1819,green
181A,green
181B,green
1919,green
191A,green
191B,green
1A1A,green
1A1B,green
1A1C,green
1B1B,green
1B1C,green
1B2D,green
1C1C,green
1C2D,green
2020,green
2030,green
2121,green
2122,green
2123,green
212B,green
212C,green
2222,green
2223,green
2224,green
222B,green
222C,green
2323,green
2324,green
232B,green
232C,green
2424,green
2425,green
2426,green
2427,green
2429,green
242A,green
242B,green
242C,green
2525,green
2526,green
2527,green
252A,green
252B,green
2626,green
2627,green
2628,green
2629,green
262A,green
2727,green
2728,green
2828,green
2829,green
282A,green
2929,green
292A,green
292B,green
2A2A,green
2A2B,green
2A2C,green
2B2B,green
2B2C,green
2C2C,green
2D2D,green
3030,green
3131,green
3132,green
3133,green
3134,green
3135,green
3136,green
3137,green
3138,green
3139,green
313A,green
313B,green
313C,green
3232,green
3233,green
3234,green
3235,green
3236,green
3237,green
3238,green
3239,green
323A,green
323B,green
323C,green
3333,green
3334,green
3335,green
3336,green
3337,green
3338,green
3339,green
333A,green
333B,green
333C,green
3434,green
3435,green
3436,green
3437,green
3438,green
3439,green
343A,green
343B,green
343C,green
3535,green
3536,green
3537,green
3538,green
3539,green
353A,green
353B,green
353C,green
3636,green
3637,green
3638,green
3639,green
363A,green
363B,green
363C,green
3737,green
3738,green
3739,green
373A,green
373B,green
373C,green
3838,green
3839,green
383A,green
383B,green
383C,green
3939,green
393A,green
393B,green
393C,green
3A3A,green
3A3B,green
3A3C,green
3B3B,green
3B3C,green
3C3C,green
3D3D,green

